Actor,Number of shows
Ricky Memphis,1
Martina Stella,1
Ralph Palka,1
Biagio Izzo,1
Riccardo Rossi,1
Paola Minaccioni,1
Anton Yelchin,10
Bérénice Marlohe,2
Olivia Thirlby,3
Lambert Wilson,4
Frank Langella,8
Adam Sandler,19
Drew Barrymore,5
Rob Schneider,10
Sean Astin,15
Lusia Strus,1
Dan Aykroyd,4
Amy Hill,3
Allen Covert,6
Blake Clark,3
Maya Rudolph,14
Joseph Gordon-Levitt,8
Seth Rogen,16
Anna Kendrick,8
Bryce Dallas Howard,6
Anjelica Huston,6
Serge Houde,2
Andrew Airlie,2
Matt Frewer,4
Philip Baker Hall,4
Marie Avgeropoulos,4
Jessica Parker Kennedy,2
Herjunot Ali,5
Raline Shah,3
Fedi Nuril,5
Pevita Pearce,6
Saykoji,1
Denny Sumargo,4
Didi Petet,1
Firrina Sinatrya,1
Andrei Selaru,1
Dorian Popa,1
Julia Marcan,1
Ana Radu,1
Cosmin Nedelcu,1
Diana Condurache,1
Andrei Gavril,1
Luca Bogdan,1
Abbi Jacobson,2
Dave Franco,5
Jane Kaczmarek,1
Tim Matheson,3
Charlotte Carel,1
Madeline Carel,1
Maya Erskine,2
Dawan Owens,1
Jen Tullock,1
Jamie Bell,7
Abbie Cornish,3
Mark Strong,6
Martin Shaw,1
Ben Turner,1
Aymen Hamdouchi,2
Tim Pigott-Smith,5
Robert Portal,1
Colin Garlick,1
Andrew Grainger,1
Martin Hancock,3
Emun Elliott,1
Ryan Reynolds,11
Mélanie Laurent,4
Corey Hawkins,1
Adria Arjona,2
Manuel Garcia-Rulfo,1
Ben Hardy,1
Lior Raz,2
Payman Maadi,1
Yuri Kolokolnikov,1
Kim Kold,1
Taissa Farmiga,6
Ben Rosenfield,1
Lindsay Burdge,4
Joshua Leonard,3
Jennifer Lafleur,1
Peter Vack,3
Dana Wheeler-Nicholson,1
Jason Newman,2
Molly McMichael,1
Prashantt Guptha,2
Gaurav Paswala,1
Gaurav Kothari,1
Disha Kapoor,1
Niharica Raizada,2
Ashrut Jain,1
Darshan Machamada,1
Matthew Gray Gubler,6
AnnaLynne McCord,3
Sheila Vand,4
